fpath,policy,theta,workload,secs,opsPerTx,total_threads,comm_rate,abrt_rate,avg_ms,median_ms,p95_ms,p99_ms
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.6/servers_2_clients_2/threads_10/theta_0.6/ops_3/workload_YCSB-B/wait_woundwait,woundwait,0.6,YCSB-B,30,3,10,4276.49,0.0,2.327,2.2815000000000003,2.825,3.3435
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.6/servers_2_clients_2/threads_10/theta_0.6/ops_3/workload_YCSB-C/wait_nowait,nowait,0.6,YCSB-C,30,3,10,5568.28,0.0,1.7785,1.7465000000000002,2.1805,2.549
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.6/servers_2_clients_2/threads_10/theta_0.6/ops_3/workload_YCSB-C/wait_waitdie,waitdie,0.6,YCSB-C,30,3,10,5490.31,0.0,1.807,1.767,2.2265,2.659
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.6/servers_2_clients_2/threads_10/theta_0.6/ops_3/workload_YCSB-C/wait_woundwait,woundwait,0.6,YCSB-C,30,3,10,4280.52,0.0,2.3205,2.2785,2.8185000000000002,3.3120000000000003
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.6/servers_2_clients_2/threads_10/theta_0.6/ops_3/workload_YCSB-A/wait_nowait,nowait,0.6,YCSB-A,30,3,10,5492.17,1.0,1.8035,1.7675,2.2270000000000003,2.6239999999999997
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.6/servers_2_clients_2/threads_10/theta_0.6/ops_3/workload_YCSB-A/wait_waitdie,waitdie,0.6,YCSB-A,30,3,10,5415.36,1.0,1.834,1.7934999999999999,2.2705,2.7155
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.6/servers_2_clients_2/threads_10/theta_0.6/ops_3/workload_YCSB-A/wait_woundwait,woundwait,0.6,YCSB-A,30,3,10,4249.47,0.0,2.3419999999999996,2.295,2.8455000000000004,3.3545
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.8/servers_2_clients_2/threads_10/theta_0.8/ops_3/workload_YCSB-B/wait_nowait,nowait,0.8,YCSB-B,30,3,10,5542.26,6.0,1.794,1.7574999999999998,2.1959999999999997,2.5709999999999997
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.8/servers_2_clients_2/threads_10/theta_0.8/ops_3/workload_YCSB-B/wait_waitdie,waitdie,0.8,YCSB-B,30,3,10,5494.32,5.0,1.816,1.7755,2.237,2.6825
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.8/servers_2_clients_2/threads_10/theta_0.8/ops_3/workload_YCSB-B/wait_woundwait,woundwait,0.8,YCSB-B,30,3,10,4269.71,1.0,2.3209999999999997,2.2785,2.8040000000000003,3.298
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.8/servers_2_clients_2/threads_10/theta_0.8/ops_3/workload_YCSB-C/wait_nowait,nowait,0.8,YCSB-C,30,3,10,5599.89,0.0,1.7755,1.7429999999999999,2.1725,2.542
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.8/servers_2_clients_2/threads_10/theta_0.8/ops_3/workload_YCSB-C/wait_waitdie,waitdie,0.8,YCSB-C,30,3,10,5532.77,0.0,1.795,1.755,2.213,2.633
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.8/servers_2_clients_2/threads_10/theta_0.8/ops_3/workload_YCSB-C/wait_woundwait,woundwait,0.8,YCSB-C,30,3,10,4330.29,0.0,2.299,2.2584999999999997,2.7645,3.253
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.8/servers_2_clients_2/threads_10/theta_0.8/ops_3/workload_YCSB-A/wait_nowait,nowait,0.8,YCSB-A,30,3,10,5447.44,51.0,1.8079999999999998,1.7705,2.2235,2.609
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.8/servers_2_clients_2/threads_10/theta_0.8/ops_3/workload_YCSB-A/wait_waitdie,waitdie,0.8,YCSB-A,30,3,10,5393.56,34.99,1.8335,1.791,2.276,2.74
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.8/servers_2_clients_2/threads_10/theta_0.8/ops_3/workload_YCSB-A/wait_woundwait,woundwait,0.8,YCSB-A,30,3,10,4210.43,7.0,2.353,2.3055,2.8625,3.4105
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_2/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_nowait,nowait,0.99,YCSB-B,30,3,10,5413.29,111.99,1.8,1.7639999999999998,2.2045,2.6605
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_2/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_waitdie,waitdie,0.99,YCSB-B,30,3,10,5384.52,80.99,1.8205,1.782,2.241,2.7185
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_2/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_woundwait,woundwait,0.99,YCSB-B,30,3,10,4235.48,18.98,2.3365,2.282,2.8804999999999996,3.5825
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_2/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_nowait,nowait,0.99,YCSB-C,30,3,10,5617.43,0.0,1.768,1.7375,2.1585,2.5235000000000003
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_2/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_waitdie,waitdie,0.99,YCSB-C,30,3,10,5565.2,0.0,1.7845,1.7494999999999998,2.189,2.6105
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_2/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_woundwait,woundwait,0.99,YCSB-C,30,3,10,4320.03,0.0,2.2885,2.249,2.7615,3.279
